snapped_latitude,snapped_longitude,average_label
32.7329928,-97.1132465,2.0
32.7332194,-97.113245,1.0
32.7332194,-97.113245,1.0
32.7332194,-97.113245,1.0
32.7329928,-97.1132465,1.0
32.7325922,-97.1132493,1.0
32.7325922,-97.1132493,1.0
32.7321161,-97.1132527,2.0
32.7320597,-97.113253,2.0
32.7316568,-97.1132545,1.0
32.7315715,-97.113254,1.0
32.7313641,-97.1132529,1.0
32.7311447,-97.1132517,1.0
32.7311447,-97.1132517,1.0
32.731139,-97.1124133,1.0
32.731139,-97.1124133,1.0
32.7311366,-97.1121802,1.0
32.7311334,-97.1118602,1.0
32.7311334,-97.1118602,1.0
32.7311247,-97.1110187,1.0
32.7311247,-97.1110187,1.0
32.7311247,-97.1110187,2.0
32.7306982,-97.1110305,1.0
32.7305887,-97.1110336,2.0
32.7305887,-97.1110336,2.0
32.7301612,-97.1110408,2.0
32.7301536,-97.111198,2.0
32.7301536,-97.111198,2.0
32.7301536,-97.111198,2.0
32.7299139,-97.112186,2.0
32.7299139,-97.112186,2.0
32.7301864,-97.1124329,2.0
32.7301582,-97.1124779,2.0
32.7301582,-97.1124779,2.0
32.7301598,-97.1133153,2.0
32.730302,-97.1133156,2.0
32.730302,-97.1133156,2.0
32.7303087,-97.1137343,2.0
32.7303087,-97.1137343,2.0
32.7301333,-97.1140152,1.0
32.7303153,-97.1142196,2.0
32.7303168,-97.1142914,3.0
32.7303168,-97.1142914,3.0
32.7301395,-97.114356,3.0
32.7303168,-97.1142914,3.0
32.7305186,-97.1143715,3.0
32.7305186,-97.1143715,3.0
32.730663,-97.1144786,2.0
32.7308255,-97.1143474,1.0
32.7310313,-97.1143881,1.0
32.7310313,-97.1143881,1.0
32.7308255,-97.1143474,1.0
32.7308255,-97.1143474,1.0
32.7305186,-97.1143715,1.0
32.7303168,-97.1142914,2.0
32.7301395,-97.114356,3.0
32.7301395,-97.114356,3.0
32.7303168,-97.1142914,3.0
32.7304037,-97.1142922,3.0
32.7305186,-97.1143715,3.0
32.7305186,-97.1143715,3.0
32.730663,-97.1144786,2.0
32.7308255,-97.1143474,1.0
32.7310313,-97.1143881,1.0
32.7310313,-97.1143881,1.0
32.7308255,-97.1143474,1.0
32.7308255,-97.1143474,2.0
32.7305186,-97.1143715,1.0
32.7304037,-97.1142922,1.0
32.7303168,-97.1142914,1.0
32.7301395,-97.114356,1.0
32.7298394,-97.114357,1.0
32.729704,-97.1143574,1.0
32.7294942,-97.1143581,1.0
32.7293008,-97.1144677,1.0
32.7293008,-97.1144677,1.0
32.7293008,-97.1144677,2.0
32.7293008,-97.1144677,2.0
32.7293008,-97.1144677,2.0
32.7294942,-97.1143581,2.0
32.729704,-97.1143574,2.0
32.7298394,-97.114357,2.0
32.7298394,-97.114357,2.0
32.7301395,-97.114356,2.0
32.7301395,-97.114356,2.0
32.7301333,-97.1140152,2.0
32.7301282,-97.1137358,2.0
32.7301282,-97.1137358,1.0
32.730302,-97.1133156,1.0
32.730302,-97.1133156,1.0
32.7306034,-97.1133162,1.0
32.7306034,-97.1133162,2.0
32.7311481,-97.1133174,2.0
32.7311481,-97.1133174,2.0
32.7311481,-97.1133174,2.0
32.7311481,-97.1133174,1.0
32.7311653,-97.1143383,1.0
32.7311653,-97.1143383,1.0
32.7310313,-97.1143881,2.0
32.7310313,-97.1143881,3.0
32.7311653,-97.1143383,3.0
32.7310313,-97.1143881,3.0
32.7308255,-97.1143474,3.0
32.7308255,-97.1143474,3.0
32.7306621,-97.1144153,1.0
32.7306621,-97.1144153,1.0
32.7310313,-97.1143881,1.0
32.7310313,-97.1143881,1.0
32.7310313,-97.1143881,1.0
32.7311653,-97.1143383,1.0
32.7311653,-97.1143383,1.0
32.7311481,-97.1133174,1.0
32.7311447,-97.1132517,1.0
32.7313641,-97.1132529,1.0
