snapped_latitude,snapped_longitude,average_label
32.7332194,-97.113245,1.0
32.7336556,-97.113235,1.0
32.733724,-97.11291,1.0
32.733724,-97.11291,2.0
32.7336078,-97.1122161,2.0
32.7336078,-97.1122161,1.0
32.7336155,-97.1120609,2.0
32.73357,-97.1117408,3.0
32.7335633,-97.1115449,3.0
32.733708,-97.1113779,2.0
32.7337049,-97.1109348,2.0
32.7336114,-97.1105306,1.0
32.7336182,-97.1103827,1.0
32.7336208,-97.1102525,2.0
32.7336326,-97.1097609,2.0
32.7336394,-97.1096699,1.0
32.7336326,-97.1097609,1.0
32.7331349,-97.1098722,1.0
32.7331349,-97.1098722,2.0
32.7330122,-97.1098741,2.0
32.732912,-97.1099206,1.0
32.7329144,-97.1100555,1.0
32.7336208,-97.1102525,3.0
32.7331349,-97.1098722,3.0
32.7329167,-97.1101853,3.0
32.7329167,-97.1101853,2.0
32.7329167,-97.1101853,1.0
32.7324488,-97.1102528,1.0
32.7324485,-97.1101852,2.0
32.732448,-97.1100535,1.0
32.7325642,-97.1099256,2.0
32.7329112,-97.1098757,2.0
32.732912,-97.1099206,2.0
32.7329144,-97.1100555,2.0
32.7329189,-97.1103116,2.0
32.7329202,-97.1103932,2.0
32.7324494,-97.110403,1.0
32.73245,-97.110555,2.0
32.7324509,-97.1108038,1.0
32.7324515,-97.1109544,2.0
32.7324755,-97.1109758,2.0
32.7326032,-97.1110792,1.0
32.732638,-97.1113936,1.0
32.732641,-97.1115622,1.0
32.732641,-97.1115622,2.0
32.7335633,-97.1115449,1.0
32.73357,-97.1117408,2.0
32.7335726,-97.1119095,2.0
32.7326467,-97.1119308,2.0
32.7326467,-97.1119308,1.0
32.732601,-97.1120798,2.0
32.7325855,-97.1121537,1.0
32.7325858,-97.1122073,1.0
32.7325863,-97.1122917,1.0
32.7325886,-97.112653,2.0
32.7325886,-97.112653,1.0
32.7325915,-97.1131264,1.0
32.7331411,-97.1126685,2.0
32.7331411,-97.1126685,3.0
32.7327763,-97.1129724,3.0
32.7327763,-97.1129724,2.0
32.7325915,-97.1131264,2.0
32.7325886,-97.112653,3.0
32.7330136,-97.1132464,3.0
32.7329928,-97.1132465,1.0
32.7325922,-97.1132493,1.0
32.7321161,-97.1132527,1.0
32.7319175,-97.1133151,1.0
32.7319194,-97.1135951,1.0
32.7319243,-97.1143179,1.0
32.731854,-97.1144084,1.0
32.7311653,-97.1143383,1.0
32.7310313,-97.1143881,1.0
32.7308255,-97.1143474,1.0
32.7306621,-97.1144153,1.0
32.7304037,-97.1142922,1.0
32.7303168,-97.1142914,1.0
32.7301395,-97.114356,1.0
32.7301333,-97.1140152,2.0
32.7301282,-97.1137358,1.0
32.730302,-97.1133156,1.0
32.7306034,-97.1133162,1.0
32.7311481,-97.1133174,1.0
32.7311447,-97.1132517,1.0
32.7313641,-97.1132529,2.0
32.7315715,-97.113254,2.0
32.7319043,-97.1133151,1.0
32.7327763,-97.1129724,1.0
32.7331411,-97.1126685,1.0
32.7332194,-97.113245,2.0
32.7329928,-97.1132465,2.0
32.7325922,-97.1132493,2.0
32.7332194,-97.113245,3.0
32.7330136,-97.1132464,2.0
32.7329928,-97.1132465,3.0
32.7325922,-97.1132493,3.0
32.7325915,-97.1131264,3.0
32.7321161,-97.1132527,3.0
32.7320597,-97.113253,3.0
32.7316568,-97.1132545,2.0
32.7311447,-97.1132517,3.0
32.7306034,-97.1133162,2.0
32.730302,-97.1133156,2.0
32.730302,-97.1133156,3.0
32.7301282,-97.1137358,3.0
32.7303168,-97.1142914,3.0
32.7305186,-97.1143715,3.0
32.7308255,-97.1143474,3.0
32.7310313,-97.1143881,3.0
32.7311653,-97.1143383,3.0
32.731854,-97.1144084,3.0
32.731854,-97.1144084,2.0
32.7319243,-97.1143179,2.0
32.733627,-97.1121336,1.0
32.7335726,-97.1119095,1.0
32.733708,-97.1113779,3.0
32.7336154,-97.1109623,3.0
